objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,demo_001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
demo_002,demo_002.pdf,,,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,"Example locally hosted PDF item. Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, Special Collections and Archives, University of Idaho Library",Postcard_032,Image;StillImage,application/pdf,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
demo_003,demo_003.mp3,,,Good News - Power (Radio Episode Excerpt),"Robinson, Frank B.",1947,Example locally hosted audio item. A short excerpt from a Psychiana radio program episode that begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson; Failure; Success; Material Abundance,"Moscow, Idaho",46.733001,-116.991779,"Psychiana Digital Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/psychiana/",Good_News_08,Audio,audio/mp3,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_004,,CVXQ3X6Q8oU,,"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,1925-10-30,"Example YouTube video item. Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L).",American Football,"Moscow, Idaho",46.726113,-117.015671,"Vandal Video Collection, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/vandalvideo/","MG 23, Item 29",Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_005,,,464555587,Interview with K. Silem Mohammad,"Becker, Devin",2014-06-16,Example Vimeo video item. Oral history interview with poet K. Silem Mohammad discussing recent changes in writing practices that occurred due to the advent of the computer and the arrival of the digital age.,Poetry,"Ashland, OR",42.1916714,-122.728533,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",,Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_006,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/demo_006.jpg,,,Ford pumper used for slash burning control,"Thompson, J. B.",1932-09-01,Example image item externally hosted on CONTENTdm. Ford pumper used for slash burning control. September 1932. From the photo series depicting the broadcast burn at the mouth of Benton Creek.,forestry,Bonner County;Priest River Experimental Forest;Benton Creek,48.34472222,-116.8483333,"Experimental Forest and Savenac Nursery Archive, Digital Initiatives, University of Idaho Library, https://www.lib.uidaho.edu/digital/expforest/",FirePump1,Image;StillImage,image/jpeg,eng,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_007,STONE PAVILION.png,,,The Stone Pavilion,DODESIGN,2024,"The Drifting Stones project, nestled in the mountain region of Chongqing, is a scenic addition to a private mountain retreat. Surrounded by lush greenery, towering cliffs, and gentle streams, the project consists of two structures: “The Stacks” and The Hut”. Visitors can ascend the steps for a panoramic view or relax in the pavilion and enjoy a tea with the soothing sound of water flowing.",Architectural Building,"Chongqing, China",,,https://architizer.com/projects/the-stone-pavilions/,Arki-Pavilion,Image;StillImage,image/png,eng,"Metadata-only record, please check publication for rights",
demo_008,,q8dcnh-4I6g,,Inside Fallingwater: Frank Lloyd Wright's Architectural Genius in Pennsylvania | House Tour,Frank Lloyd Wright,2003,"Frank Lloyd Wright's Fallingwater is one of the most iconic and celebrated examples of modern architecture, seamlessly blending structure with nature. Designed in 1935 for the Kaufmann family as a weekend retreat, the house is located in Mill Run, Pennsylvania, perched dramatically over a cascading waterfall. Wright's vision was to create a space that harmonized with its environment, a principle of his architectural philosophy of organic architecture. The house is constructed primarily from locally sourced stone and concrete, with extensive use of cantilevered terraces that mimic the surrounding rock formations.",Falling Water (walkthrough),Pennsylvania,,,Youtube,q8dcnh-4I6g,Image;MovingImage,video/mp4,eng,@openspaceseries,www.openspaceseries.com
demo_009,https://i.mydramalist.com/LwQ5Ny_5f.jpg?raw=true,,,Qingshan Cultural Hall,MOMENTUM Architects,2024,"The Qingshan Cultural Hall project is located in Qingshan Village, an experimental area for art and rural architecture in Hangzhou. The site is situated to the south of the village, with views of the mountains to the north. The design establishes a dialogue between architecture, the local community, and the natural environment, using this interaction as the foundation for a critical examination the architectural form.",Architectural Building,Hangzhou China,,,https://architizer.com/projects/qingshan-culture-hall/,Arki-Cultural,Image;StillImage,image/jpg,eng,MOMENTUM Architects,MOMENTUM Architects
demo_010,,,,,,,,,,,,,,,,,,
